,name,company
0,Монтажник ВЛ,Тектурмасские кварциты
2,"Грузчик-комплектовщик, г. Алматы",Metawerk Alliance
3,Техник,"Beeline, ТМ"
5,Водитель самосвала,Карбон-Инвест
6,Менеджер по работе с клиентами Пункта сети сервиса Казахтелеком,Казахтелеком
7,Менеджер по работе с клиентами в Группу продаж Казахтелеком,Казахтелеком
8,"Водитель/механизатор (ЗИЛ, ГАЗ, КАМАЗ, Бюллер, КАТ,МТЗ,К700)",Сулу
9,"Продавец-консультант, Айтеке Би",Компания ЭВРИКА
10,Механизатор,Глашев Канат
11,Инженер связи/Радионженер,"Каскад+, ТОО"
12,Фармацевт,Долголет
13,Администратор в SPA комплекс,GAREX LTD
14,SPA - специалист,GAREX LTD
15,Ветеринарный врач,КГПнаПХВ Ветеринарная станция Шортандинского района при управлении ветеринарии
16,Тайный проверяющий,4Service Holdings GmbH
17,Торговый представитель,Масло-Дел
18,Специалист по оценке ювелирных изделий,М-Ломбард
19,Заведующий филиалом/ Старший кассир Акколь (Акмолинская обл),М-Ломбард
20,Начальник ЦБО (Акколь),Jusan Bank
21,Продавец-кассир,Sulpak
22,Помощник техника,MAG-Pi Inspection
23,Project administrator,Sitek Caspian
25,"Менеджер ОТ, ТБ, ООС и КК",QHSE-AKBARYS
26,HR-специалист,National Service Company
27,Ассистент по лидогенерации,Частная компания “Automated Communication Solutions Ltd.”
29,Бухгалтер,Staff Line Service
31,Инженер ПТО,Китайская Строительная Компания
34,Office Administrator,Brunel Atyrau LLP
35,"Супервайзер по охране труда, технике безопасности и охране окружающей среды (HSE Supervisor)",National Service Company
36,Главный механик ремонтного цеха,"Сичим С.п.А Казахстан, Филиал"
37,Well Support Service Coordinator,National Service Company
38,Начальник отдела бетоносмесительного узла,Сервисная компания БатысМунайСтрой
39,JDE specialist,"Сичим С.п.А Казахстан, Филиал"
41,"Управляющий магазином ""ZETA"", в г. Аксай","Дельта Капитал, ТОО"
42,Геодезист,Елжас
45,Продавец-кассир,Sulpak
47,"Инженер ОТ, ТБ и ООС (Manager)",National Service Company
48,Монтажник технологических трубопроводов,Сырласу
