vacancy_id,name,city,company,salary_from,salary_to,currency,description,requirements,responsibilities,experience,url
128734944,Семейный водитель,Алматы,KOREANA,,,,"Обязанности:     Транспортировка членов семьи (включая детей) по различным местам в городе (школа, работа и тд.)   Обеспечение безопасности пассажиров во время поездок   Поддержание чистоты и порядка в автомобиле   Организация технического обслуживания и ремонта автомобиля   Выполнение дополнительных поручений от работодателя по мере необходимости     Требования:     Опыт работы в качестве водителя   Знание дорожных правил и опыт вождения в городских условиях   Чистая водительская история   Отличные коммуникативные навыки   Ответственное отношение к работе и безопасности пассажиров     Условия:     Полный рабочий день, с гибким графиком в некоторых случаях   Конкурентоспособная заработная плата   Дружелюбная среда работы   Оплата ГСМ","опыт работы в качестве водителя   знание дорожных правил и опыт вождения в городских условиях   чистая водительская история   отличные коммуникативные навыки   ответственное отношение к работе и безопасности пассажиров     условия:     полный рабочий день, с гибким графиком в некоторых случаях   конкурентоспособная заработная плата   дружелюбная среда работы   оплата гсм","транспортировка членов семьи (включая детей) по различным местам в городе (школа, работа и тд.)   обеспечение безопасности пассажиров во время поездок   поддержание чистоты и порядка в автомобиле   организация технического обслуживания и ремонта автомобиля   выполнение дополнительных поручений от работодателя по мере необходимости     требования:     опыт работы в качестве водителя   знание дорожных правил и опыт вождения в городских условиях   чистая водительская история   отличные коммуникативные навыки   ответственное отношение к работе и безопасности пассажиров     условия:     полный рабочий день, с гибким графиком в некоторых случаях   конкурентоспособная заработная плата   дружелюбная среда работы   оплата гсм",От 3 до 6 лет,https://hh.ru/vacancy/128734944
128328742,Менеджер по продажам,Алматы,Озен холдинг,350000.0,1000000.0,KZT,"Уважаемый кандидат!   В нашу дружную команду мы ищем Менеджера по продажам и работе с клиентами!   Если ты:   * Считаешь себя самым крутым и амбициозным;   * Хочешь работать в молодой и амбициозной команде;   * Готов расти и развиваться вместе с нами, то ты тот, кто нам нужен!   Обязанности:     Работа с CRM системой;   Отработка исходящих и входящих звонков;   Заключение договоров;   Сопровождение клиентов.     Требования:     Образование среднее, средне - специальное;   Рассматриваем без опыта работы, но с горящими глазами;   Знание ПК;   Опыт на аналогичной должности от 6-ти месяцев будет преимуществом;   Порядочность, отзывчивость, коммуникабельность.     Условия:     Оформление согласно ГПХ, ТК РК;   График работы 5/2 с 10-00 ч. до 19-00 ч. либо с 09-00 ч. до 18-00 ч.;   Молодой и дружный коллектив;   Имеется Food зона;   Имеется внутренняя адаптация, обучение;   Квартальные Тим - билдинги от компании;   Квартальные премии от компании в размере 750 000 тг.;   Офис расположен в удобной локации: Кунаева 38 угол Мактаева, БЦ ""Qonaev"", 3 этаж, 307 каб., контактное лицо: Айман (+77066909976);   Имеются скидки для сотрудников.","Активные продажи, Деловое общение, Телефонные переговоры, Консультирование клиентов, Выявление потребностей, Работа с CRM, Заключение договоров","работа с crm системой;   отработка исходящих и входящих звонков;   заключение договоров;   сопровождение клиентов.     требования:     образование среднее, средне - специальное;   рассматриваем без опыта работы, но с горящими глазами;   знание пк;   опыт на аналогичной должности от 6-ти месяцев будет преимуществом;   порядочность, отзывчивость, коммуникабельность.     условия:     оформление согласно гпх, тк рк;   график работы 5/2 с 10-00 ч. до 19-00 ч. либо с 09-00 ч. до 18-00 ч.;   молодой и дружный коллектив;   имеется food зона;   имеется внутренняя адаптация, обучение;   квартальные тим - билдинги от компании;   квартальные премии от компании в размере 750 000 тг.;   офис расположен в удобной локации: кунаева 38 угол мактаева, бц ""qonaev"", 3 этаж, 307 каб., контактное лицо: айма",Нет опыта,https://hh.ru/vacancy/128328742
128496134,Куратор,Алматы,Amanat Education,80000.0,,KZT,"Мы ищем в команду онлайн Куратора образовательного центра!       Что нужно делать?:   находить общий язык с детьми, выполнять роль ""Классного руководителя"", следить за успеваемостью и дисциплиной детей.       работать с родителями, предоставлять обратную связь, обрабатывать запросы, быть инициатором диалога   Делать регулярную рассылку на базу   Что требуется от вас?:   Адекватность и честность, это главные два критерия   Так же Сдача ЕНТ с результатом 105+   Грамотная устная и письменная речь   Пунктуальность и организованность   Свободное владение языком:казахский   Что мы предлагаем?   График работы:гибкий   Режим:Онлайн   молодой, дружный коллектив   поддержка инициативности",,,Нет опыта,https://hh.ru/vacancy/128496134
126216634,Куратор в начальные классы в школу Quantum TECH School,Астана,BI Group,,,,"Обязанности:   реализует направления системы воспитательной работы Школы; -внедряет демократические принципы управления учащимися, -осуществляет адаптацию учащихся к новым социальным условиям;   -обеспечивает участие учащихся во внеучебной деятельности;   -проводит мероприятия на уровне закрепленной параллели и Школы;   -оказывает содействие в организации деятельности органов ученического самоуправления (House System);   -оказывает содействие в самореализации личности учащегося, реализации его прав и обязанностей;   -обеспечивает безопасное проведение образовательного процесса и организовывает охрану жизни и здоровья учащихся;   -повышает свою профессиональную квалификацию;   -участвует в деятельности работы кафедры;   -содействует получению дополнительного образования обучающимися -через систему кружков, клубов, секций, организуемых в школе;   -совместно с органами самоуправления обучающихся ведет активную пропаганду здорового образа жизни;   участвует в организации и проведении физкультурно-массовые, спортивные и другие мероприятия, способствующие укреплению здоровья обучающихся в параллели   -оперативно извещает администрацию школы о каждом несчастном случае, принимает меры по оказанию первой помощи совместно с медицинской службой;   -проводит инструктаж обучающихся по безопасности проведения воспитательных мероприятиях   взаимодействует с родителями и/или иными законными представителями учащихся по вопросам своевременного посещения уроков, кружков;   взаимодействует с родителями и/или иными законными представителями учащихся по вопросам безопасности учащихся совместно с медицинским блоком и службой безопасности;   обеспечивает качественное и своевременное составление, достоверность и сдачу в установленном порядке отчетной документации в рамках своих полномочий;   выполняет правила и нормы охраны труда, техники безопасности и противопожарной защиты;   обеспечивает результативность в воспитательном процессе;   контролирует ведение паспорта индивидуальных достижений учащихся согласно мероприятиям и регламенту House System;   составляет и контролирует реализацию, заполнение папки с разработками воспитательных мероприятий (отчеты, разработки, фото и видеоматериалы и др.).   осуществляет замену классного руководителя при отсутствии классного руководителя, а также при необходимости;   Требования:   высшее педагогическое образование, высшее профессиональное образование по соответствующим профилям/степень бакалавра   Условия:   Школа находится возле ЭКСПО;   пятидневная рабочая неделя.","высшее педагогическое образование, высшее профессиональное образование по соответствующим профилям/степень бакалавра   условия:   школа находится возле экспо;   пятидневная рабочая неделя.","реализует направления системы воспитательной работы школы; -внедряет демократические принципы управления учащимися, -осуществляет адаптацию учащихся к новым социальным условиям;   -обеспечивает участие учащихся во внеучебной деятельности;   -проводит мероприятия на уровне закрепленной параллели и школы;   -оказывает содействие в организации деятельности органов ученического самоуправления (house system);   -оказывает содействие в самореализации личности учащегося, реализации его прав и обязанностей;   -обеспечивает безопасное проведение образовательного процесса и организовывает охрану жизни и здоровья учащихся;   -повышает свою профессиональную квалификацию;   -участвует в деятельности работы кафедры;   -содействует получению дополнительного образования обучающимися -через систему круж",От 1 года до 3 лет,https://hh.ru/vacancy/126216634
128085015,Электромонтажник,Павлодар,ТЕХПРОМАВТОМАТИЗАЦИЯ,450000.0,,KZT,"Погрузитесь в динамичную и востребованную профессию электромонтажника, где каждый день приносит новые вызовы и возможности для профессионального роста. Обязанности     Монтаж, наладка и ремонт электрических систем и оборудования   Чтение и интерпретация электрических схем и чертежей   Обеспечение безопасности при выполнении электромонтажных работ   Проведение диагностики и устранение неисправностей   Соблюдение технических норм и стандартов     Требования     Опыт работы в электромонтажных работах от 1 года   Знание электротехнических норм и правил   Умение работать с инструментами и оборудованием   Ответственность и внимательность к деталям   Готовность к работе в команде и самостоятельной работе     Условия     График работы 5/2   Конкурентная заработная плата от 450 000 рублей   Работа в городе Павлодар   Стабильное трудоустройство","Электромонтажные работы, Монтаж оборудования, КИПиА, строительно-монтажные работы, Сварочные работы, Чтение чертежей, Обучение и развитие, Работа на высоте, Работа с электроинструментом","монтаж, наладка и ремонт электрических систем и оборудования   чтение и интерпретация электрических схем и чертежей   обеспечение безопасности при выполнении электромонтажных работ   проведение диагностики и устранение неисправностей   соблюдение технических норм и стандартов     требования     опыт работы в электромонтажных работах от 1 года   знание электротехнических норм и правил   умение работать с инструментами и оборудованием   ответственность и внимательность к деталям   готовность к работе в команде и самостоятельной работе     условия     график работы 5/2   конкурентная заработная плата от 450 000 рублей   работа в городе павлодар   стабильное трудоустройство",От 1 года до 3 лет,https://hh.ru/vacancy/128085015
126389834,Промо-хостес,Кокшетау,Melek,180000.0,250000.0,KZT,"Основная задача: Проведение маркетингового исследования бренда и создание положительного впечатления у гостей заведений HoReCa.   Обязанности:   Работа в заведениях HoReCa (рестораны, бары, лаунж-зоны);   Презентация бренда и активностей для гостей;   Общение с посетителями, создание доброжелательной атмосферы;   Поддержание внешнего вида и стандартов бренда на протяжении смены;   Отчётность по результатам смены и выполненным KPI;   Работа в команде со старшим промо-специалистом (СПВ).   Условия:   График:  3 дня в неделю (чт–пт–сб или ср–пт–сб)   Время:  20:00–00:00 ​​​​​ После завершения смены обеспечивается доставка сотрудников до дома   Требования:   Коммуникабельность, доброжелательность, ответственность   Опыт в промо, ивент-сфере или HoReCa будет преимуществом","коммуникабельность, доброжелательность, ответственность   опыт в промо, ивент-сфере или horeca будет преимуществом","работа в заведениях horeca (рестораны, бары, лаунж-зоны);   презентация бренда и активностей для гостей;   общение с посетителями, создание доброжелательной атмосферы;   поддержание внешнего вида и стандартов бренда на протяжении смены;   отчётность по результатам смены и выполненным kpi;   работа в команде со старшим промо-специалистом (спв).   условия:   график:  3 дня в неделю (чт–пт–сб или ср–пт–сб)   время:  20:00–00:00 ​​​​​ после завершения смены обеспечивается доставка сотрудников до дома   требования:   коммуникабельность, доброжелательность, ответственность   опыт в промо, ивент-сфере или horeca будет преимуществом",Нет опыта,https://hh.ru/vacancy/126389834
127947240,Администратор,Шымкент,Сулейман,250000.0,400000.0,KZT,"Обязанности:     Ведение бухгалтерского учета — оформление всех финансовых операций.     Работа с документами — счета, акты, накладные, договоры.       Начисление зарплаты сотрудникам.       Подготовка и сдача отчетов в налоговые органы.       Учёт расходов и доходов, контроль движения денег.           Требования:     Опыт работы бухгалтером от 1 года (можно указать конкретно, если нужно).     Знание 1С, Excel и основных бухгалтерских программ.           Условия:     Официальное трудоустройство.     График работы: 5/2, с 9:00 до 18:00","опыт работы бухгалтером от 1 года (можно указать конкретно, если нужно).     знание 1с, excel и основных бухгалтерских программ.           условия:     официальное трудоустройство.     график работы: 5/2, с 9:00 до 18:00","ведение бухгалтерского учета — оформление всех финансовых операций.     работа с документами — счета, акты, накладные, договоры.       начисление зарплаты сотрудникам.       подготовка и сдача отчетов в налоговые органы.       учёт расходов и доходов, контроль движения денег.           требования:     опыт работы бухгалтером от 1 года (можно указать конкретно, если нужно).     знание 1с, excel и основных бухгалтерских программ.           условия:     официальное трудоустройство.     график работы: 5/2, с 9:00 до 18:00",Нет опыта,https://hh.ru/vacancy/127947240
126008440,Ассистент маркетолога,Алматы,Crown Star,400000.0,400000.0,KZT,"Опыт работы: 3-6 года   Полная занятость   График: 5/2, с 09:00 до 18:00   Hayat Hospitality Management  - компания, управляющая гостиницами и ресторанами в Казахстане, Турции и США. Опыт работы в данном направлении уже более 10 лет по всему миру.   Проекты: Ziyafet Meat House, Ziyafet Steak House, Noodles, Bar Fly, Dolce Karaoke, Eden Pool&Bar   Сейчас мы в поиске опытного  маркетолога  в компанию.   Вам предстоит:  • Размещение постов в соцсетях по контент-плану (Instagram, TikTok, Threads, Telegram); • Загрузка фото, видео и текстов на сайт и в приложение; • Базовый копирайтинг (описания товаров, новости, акции); Административная поддержка: • Помощь в подготовке презентаций, афиш, баннеров; • Сбор материалов для дизайнера (фото, тексты, референсы); • Работа с подрядчиками (печать, сувенирка, блогеры); Мониторинг и аналитика: • Отслеживание комментариев, сообщений в соцсетях, отзывов; • Подготовка простых отчетов (охваты, лайки, просмотры, подписчики); • Анализ конкурентов (собирать инфо по акциям, рекламе, меню); Организация и помощь в мероприятиях: • Поддержка при фотосессиях, съёмках, активациях; • Помощь в организации ивентов (декор, рассылки, чек-листы); • Контроль раздаточных материалов; Работа с базами данных: • Ведение таблиц по рекламным кампаниям; • Загрузка контактов в CRM; • Сбор и систематизация информации для маркетолога; Помощь и поддержка в офисе по задачам маркетолога;      Вы нам подходите, если:     Имеете успешный релевантный опыт в индустрии гостиничного или ресторанного бизнеса более 3 лет;   Имеете профессиональные связи в специфических кругах города;   Умеете работать в режиме многозадачности;   Коммуникабельны и исполнительны;         Мы предлагаем Вам:     Оформление по ТК РК;   Стабильную заработную плату;   Удобный график 5/2;   Бесплатное корпоративное питание;","Работа с большим объемом информации, Маркетинговые коммуникации, Сбор и анализ информации, Анализ данных, Internet Marketing",,От 3 до 6 лет,https://hh.ru/vacancy/126008440
127750670,翻译,Алматы,Частная компания Asian United Alliance Ltd.,500000.0,,KZT,"Обязанности:   Сопровождение людей при выходе на общение с клиентами   Помощь в делах компании и перевод документов   Отслеживание временно порученных дел   Требования:   Иметь практический опыт работы в сфере письменного перевода или смежных областях, таких как сопровождение бизнеса, перевод документов, устный перевод, письменный перевод и т. д.","Навыки переговоров, Навыки продаж, Умение работать в коллективе, Подбор персонала, Телефонные переговоры, Навыки межличностного общения, Поиск и привлечение клиентов, Точность и внимательность к деталям","сопровождение людей при выходе на общение с клиентами   помощь в делах компании и перевод документов   отслеживание временно порученных дел   требования:   иметь практический опыт работы в сфере письменного перевода или смежных областях, таких как сопровождение бизнеса, перевод документов, устный перевод, письменный перевод и т. д.",От 1 года до 3 лет,https://hh.ru/vacancy/127750670
128543319,Электрик,Алматы,Almaty Ozeni,550000.0,,KZT,"Обязанности:     Осмотр технического состояния электроснабжения   Обеспечивать исправное состояние, безаварийную и надежную работу обслуживающих устройств и оборудования, правильную их эксплуатацию и своевременный качественный ремонт   Подготовку отремонтированного электрооборудования к сдаче в эксплуатацию   Контроль и профилактика общих инженерных систем электроснабжения жилого комплекса   Участие во всех видах обслуживания и поддержание исправного состояния инженерных систем электроснабжения жилого комплекса   Базовые знания по  системам автоматизации подогрева  (терморегуляторы, реле) приветствуется     Требования:     Опыт работы на аналогичной должности от 3-х лет   Среднее профессиональное образование в области  электротехники, электроники или электромонтажа   Наличие  допуска к работам с электричеством  (по разряду: 3–4 группа по электробезопасности)   Сертификаты и допуски по обслуживанию электрооборудования и систем подогрева (при наличии)     Условия:     официальное трудоустройство   своевременная выплата заработной     Уровень заработной платы устанавливается по результатам собеседования!   Строительная площадка находится по адресу: ПК Горный гигант участок 2361 (район Коктобе)","опыт работы на аналогичной должности от 3-х лет   среднее профессиональное образование в области  электротехники, электроники или электромонтажа   наличие  допуска к работам с электричеством  (по разряду: 3–4 группа по электробезопасности)   сертификаты и допуски по обслуживанию электрооборудования и систем подогрева (при наличии)     условия:     официальное трудоустройство   своевременная выплата заработной     уровень заработной платы устанавливается по результатам собеседования!   строительная площадка находится по адресу: пк горный гигант участок 2361 (район коктобе)","осмотр технического состояния электроснабжения   обеспечивать исправное состояние, безаварийную и надежную работу обслуживающих устройств и оборудования, правильную их эксплуатацию и своевременный качественный ремонт   подготовку отремонтированного электрооборудования к сдаче в эксплуатацию   контроль и профилактика общих инженерных систем электроснабжения жилого комплекса   участие во всех видах обслуживания и поддержание исправного состояния инженерных систем электроснабжения жилого комплекса   базовые знания по  системам автоматизации подогрева  (терморегуляторы, реле) приветствуется     требования:     опыт работы на аналогичной должности от 3-х лет   среднее профессиональное образование в области  электротехники, электроники или электромонтажа   наличие  допуска к работам с элект",От 1 года до 3 лет,https://hh.ru/vacancy/128543319
