Факультет;Специальность
Школа бизнеса;Диджитал маркетинг
Школа бизнеса;Менеджмент
Школа бизнеса;Учет и аудит
Школа бизнеса;Финансы
Школа бизнеса;Экономика
Факультет инженерии и естественных наук;Информационные системы
Факультет инженерии и естественных наук;Информационные системы для бизнеса
Факультет инженерии и естественных наук;Компьютерные науки
Факультет инженерии и естественных наук;Математика
Факультет инженерии и естественных наук;Математическое и компьютерное моделирование
Факультет инженерии и естественных наук;Мультимедийные науки
Факультет инженерии и естественных наук;Программная инженерия
Факультет инженерии и естественных наук;Статистика и наука о данных
Факультет педагогики и гуманитарных наук;Два иностранных языка
Факультет педагогики и гуманитарных наук;Информатика
Факультет педагогики и гуманитарных наук;История
Факультет педагогики и гуманитарных наук;Казахский язык и литература
Факультет педагогики и гуманитарных наук;Математика(педагогика)
Факультет педагогики и гуманитарных наук;Педагогика и методика начального обучения
Факультет педагогики и гуманитарных наук;Педагогика и Психология
Факультет педагогики и гуманитарных наук;Переводческое дело
Факультет педагогики и гуманитарных наук;Прикладная филология
Факультет педагогики и гуманитарных наук;Русский язык и литература в школах с русским и нерусским языками обучения
Факультет педагогики и гуманитарных наук;Социальная педагогика
Факультет педагогики и гуманитарных наук;Физика
Факультет педагогики и гуманитарных наук;Химия
Факультет права и социальных наук;Международное право
Факультет права и социальных наук;Международные отношения
Факультет права и социальных наук;Мультимедиа и теливизионная журналистика
Факультет права и социальных наук;Право государственного управления
Факультет права и социальных наук;Прикладная психология
Факультет права и социальных наук;Прикладное право
